division,rank,name,profile_link
Men's Pound-for-PoundTop Rank,0,Islam Makhachev,https://www.ufc.com/athlete/islam-makhachev
Men's Pound-for-PoundTop Rank,1,Islam Makhachev,https://www.ufc.com/athlete/islam-makhachev
Men's Pound-for-PoundTop Rank,2,Ilia Topuria,https://www.ufc.com/athlete/ilia-topuria
Men's Pound-for-PoundTop Rank,3,Merab Dvalishvili,https://www.ufc.com/athlete/merab-dvalishvili
Men's Pound-for-PoundTop Rank,4,Khamzat Chimaev,https://www.ufc.com/athlete/khamzat-chimaev
Men's Pound-for-PoundTop Rank,5,Alexandre Pantoja,https://www.ufc.com/athlete/alexandre-pantoja
Men's Pound-for-PoundTop Rank,6,Alex Pereira,https://www.ufc.com/athlete/alex-pereira
Men's Pound-for-PoundTop Rank,7,Alexander Volkanovski,https://www.ufc.com/athlete/alexander-volkanovski
Men's Pound-for-PoundTop Rank,8,Tom Aspinall,https://www.ufc.com/athlete/tom-aspinall
Men's Pound-for-PoundTop Rank,9,Dricus Du Plessis,https://www.ufc.com/athlete/dricus-du-plessis
Men's Pound-for-PoundTop Rank,10,Max Holloway,https://www.ufc.com/athlete/max-holloway
Men's Pound-for-PoundTop Rank,11,Jack Della Maddalena,https://www.ufc.com/athlete/jack-della-maddalena
Men's Pound-for-PoundTop Rank,12,Magomed Ankalaev,https://www.ufc.com/athlete/magomed-ankalaev
Men's Pound-for-PoundTop Rank,13,Arman Tsarukyan,https://www.ufc.com/athlete/arman-tsarukyan
Men's Pound-for-PoundTop Rank,14,Charles Oliveira,https://www.ufc.com/athlete/charles-oliveira
Men's Pound-for-PoundTop Rank,15,Belal Muhammad,https://www.ufc.com/athlete/belal-muhammad
Flyweight,0,Alexandre Pantoja,https://www.ufc.com/athlete/alexandre-pantoja
Flyweight,1,Joshua Van,https://www.ufc.com/athlete/joshua-van
Flyweight,2,Brandon Moreno,https://www.ufc.com/athlete/brandon-moreno
Flyweight,3,Brandon Royval,https://www.ufc.com/athlete/brandon-royval
Flyweight,4,Amir Albazi,https://www.ufc.com/athlete/amir-albazi
Flyweight,5,Tatsuro Taira,https://www.ufc.com/athlete/tatsuro-taira
Flyweight,6,Manel Kape,https://www.ufc.com/athlete/manel-kape
Flyweight,7,Asu Almabayev,https://www.ufc.com/athlete/assu-almabayev
Flyweight,8,Kyoji Horiguchi,https://www.ufc.com/athlete/kyoji-horiguchi
Flyweight,9,Tim Elliott,https://www.ufc.com/athlete/tim-elliott
Flyweight,10,Steve Erceg,https://www.ufc.com/athlete/steve-erceg
Flyweight,11,Alex Perez,https://www.ufc.com/athlete/alex-perez
Flyweight,12,Tagir Ulanbekov,https://www.ufc.com/athlete/tagir-ulanbekov
Flyweight,13,Charles Johnson,https://www.ufc.com/athlete/charles-johnson
Flyweight,14,Bruno Silva,https://www.ufc.com/athlete/bruno-silva
Flyweight,15,Lone’er Kavanagh,https://www.ufc.com/athlete/loneer-kavanagh
Bantamweight,0,Merab Dvalishvili,https://www.ufc.com/athlete/merab-dvalishvili
Bantamweight,1,Umar Nurmagomedov,https://www.ufc.com/athlete/umar-nurmagomedov
Bantamweight,2,Sean O'Malley,https://www.ufc.com/athlete/sean-omalley
Bantamweight,3,Petr Yan,https://www.ufc.com/athlete/petr-yan
Bantamweight,4,Cory Sandhagen,https://www.ufc.com/athlete/cory-sandhagen
Bantamweight,5,Song Yadong,https://www.ufc.com/athlete/yadong-song
Bantamweight,6,Deiveson Figueiredo,https://www.ufc.com/athlete/deiveson-figueiredo
Bantamweight,7,Aiemann Zahabi,https://www.ufc.com/athlete/aiemann-zahabi
Bantamweight,8,Marlon Vera,https://www.ufc.com/athlete/marlon-vera
Bantamweight,9,Mario Bautista,https://www.ufc.com/athlete/mario-bautista
Bantamweight,10,Henry Cejudo,https://www.ufc.com/athlete/henry-cejudo
Bantamweight,11,David Martinez,https://www.ufc.com/athlete/david-martinez
Bantamweight,12,Rob Font,https://www.ufc.com/athlete/rob-font
Bantamweight,13,Vinicius Oliveira,https://www.ufc.com/athlete/vinicius-oliveira
Bantamweight,14,Kyler Phillips,https://www.ufc.com/athlete/kyler-phillips
Bantamweight,15,Marcus McGhee,https://www.ufc.com/athlete/marcus-mcghee
Featherweight,0,Alexander Volkanovski,https://www.ufc.com/athlete/alexander-volkanovski
Featherweight,1,Movsar Evloev,https://www.ufc.com/athlete/movsar-evloev
Featherweight,2,Diego Lopes,https://www.ufc.com/athlete/diego-lopes
Featherweight,3,Yair Rodriguez,https://www.ufc.com/athlete/yair-rodriguez
Featherweight,4,Lerone Murphy,https://www.ufc.com/athlete/lerone-murphy
Featherweight,5,Aljamain Sterling,https://www.ufc.com/athlete/aljamain-sterling
Featherweight,6,Arnold Allen,https://www.ufc.com/athlete/arnold-allen
Featherweight,7,Youssef Zalal,https://www.ufc.com/athlete/youssef-zalal
Featherweight,8,Steve Garcia,https://www.ufc.com/athlete/steve-garcia
Featherweight,9,Brian Ortega,https://www.ufc.com/athlete/brian-ortega
Featherweight,10,Josh Emmett,https://www.ufc.com/athlete/josh-emmett
Featherweight,11,Jean Silva,https://www.ufc.com/athlete/jean-silva
Featherweight,12,Patricio Pitbull,https://www.ufc.com/athlete/patricio-pitbull-freire
Featherweight,13,Dan Ige,https://www.ufc.com/athlete/dan-ige
Featherweight,14,David Onama,https://www.ufc.com/athlete/david-onama
Featherweight,15,Giga Chikadze,https://www.ufc.com/athlete/giga-chikadze
Lightweight,0,Ilia Topuria,https://www.ufc.com/athlete/ilia-topuria
Lightweight,1,Arman Tsarukyan,https://www.ufc.com/athlete/arman-tsarukyan
Lightweight,2,Charles Oliveira,https://www.ufc.com/athlete/charles-oliveira
Lightweight,3,Max Holloway,https://www.ufc.com/athlete/max-holloway
Lightweight,4,Justin Gaethje,https://www.ufc.com/athlete/justin-gaethje
Lightweight,5,Paddy Pimblett,https://www.ufc.com/athlete/paddy-pimblett
Lightweight,6,Dan Hooker,https://www.ufc.com/athlete/dan-hooker
Lightweight,7,Mateusz Gamrot,https://www.ufc.com/athlete/mateusz-gamrot
Lightweight,8,Benoît Saint Denis,https://www.ufc.com/athlete/benoit-saint-denis
